"","year","Country","Happiness.Rank","Happiness.Score","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual"
"1",2015,"Switzerland",1,7.587,0.184066165809938,0.177871358903387,0.124084618426255,0.087725056016871,0.0553288519836563,0.0391169105048109,2.51738
"2",2015,"Iceland",2,7.561,0.172241766962042,0.185455627562492,0.12535907948684,0.0831596349689195,0.0187078428779262,0.0577040074064277,2.70201
"3",2015,"Denmark",3,7.527,0.176096718480138,0.180759930915371,0.116200345423143,0.0862734157034675,0.0642447190115584,0.0453553872724857,2.49204
"4",2015,"Norway",4,7.522,0.193964371177878,0.17694097314544,0.117682797128423,0.0890361605955863,0.0485283169369848,0.0461300186120713,2.46531
"5",2015,"Canada",5,7.427,0.178576814326107,0.178081324895651,0.121937525245725,0.0852255284771779,0.0443745792379157,0.0616817018984785,2.45176
"6",2015,"Finland",6,7.406,0.174216851201728,0.177998919794761,0.120052660005401,0.0866446124763705,0.0558628139346476,0.0315298406697272,2.61955
"7",2015,"Netherlands",7,7.378,0.180189753320683,0.1735117918135,0.121013824884793,0.0834589319598807,0.0431200867443752,0.0645296828408783,2.4657
"8",2015,"Sweden",8,7.364,0.180840575774036,0.175050244432374,0.123692286800652,0.0895980445410103,0.0595382944052146,0.0492422596414992,2.37119
"9",2015,"New Zealand",9,7.286,0.171586604446884,0.181124073565743,0.124673346143289,0.0877545978589075,0.0589102388141641,0.0651948943178699,2.26425
"10",2015,"Australia",10,7.284,0.183083470620538,0.179740527182867,0.127891268533773,0.0894069192751236,0.0489250411861615,0.0598050521691378,2.26646
"11",2015,"Israel",11,7.278,0.168805990656774,0.168168452871668,0.125566089585051,0.0567724649629019,0.0106966199505359,0.0455784556196757,3.08854
"12",2015,"Costa Rica",12,7.226,0.132269582064766,0.171309161361749,0.119052034320509,0.0877055078881816,0.014645723775256,0.0352850816495987,3.17728
"13",2015,"Austria",13,7.2,0.185726388888889,0.180144444444444,0.123669444444444,0.0867125,0.0259388888888889,0.0459555555555556,2.5332
"14",2015,"Mexico",14,7.187,0.141998052038403,0.127245025740921,0.113321274523445,0.0670390983720607,0.0296535411159037,0.0195825796577153,3.60214
"15",2015,"United States",15,7.119,0.195885658098047,0.175180502879618,0.121054923444304,0.0767017839584211,0.0223205506391347,0.0563351594325046,2.51011
"16",2015,"Brazil",16,6.983,0.140518401833023,0.176553057425175,0.0998166976944007,0.0702405842760991,0.0250909351281684,0.0208706859515967,3.26001
"17",2015,"Luxembourg",17,6.946,0.225152605816297,0.175587388424993,0.132297725309531,0.0886596602361071,0.0544169306075439,0.0403599193780593,1.96961
"18",2015,"Ireland",18,6.94,0.19250144092219,0.197331412103746,0.129010086455331,0.0890158501440922,0.0413587896253602,0.0661397694524496,1.9757
"19",2015,"Belgium",19,6.937,0.188528182211331,0.185333717745423,0.129259045696987,0.0842583249243189,0.0324924318869828,0.0320743837393686,2.41484
"20",2015,"United Arab Emirates",20,6.901,0.206820750615853,0.163128532096798,0.117265613679177,0.0929676858426315,0.0559092885089118,0.0382958991450514,2.24743
"21",2015,"United Kingdom",21,6.867,0.184413863404689,0.187196738022426,0.132434833260521,0.0868283093053735,0.046697247706422,0.0755963302752294,1.96994
"22",2015,"Oman",22,6.853,0.198469283525463,0.157860790894499,0.111303078943528,0.0923303662629505,0.0474595067853495,0.0314344082883409,2.47489
"23",2015,"Venezuela",23,6.81,0.153339207048458,0.184428781204112,0.105803230543319,0.063007342143906,0.0162540381791483,0.00857709251101322,3.19131
"24",2015,"Singapore",24,6.798,0.223868784936746,0.150044130626655,0.150816416593116,0.0798058252427185,0.0723889379229185,0.0457561047366873,1.88501
"25",2015,"Panama",25,6.786,0.156724137931035,0.176613616268789,0.117390215148836,0.0798850574712644,0.0136604774535809,0.0360064839375184,2.84848
"26",2015,"Germany",26,6.75,0.196728888888889,0.192499259259259,0.132127407407407,0.091077037037037,0.03236,0.0417985185185185,2.11569
"27",2015,"Chile",27,6.67,0.165989505247376,0.168586206896552,0.128721139430285,0.0661649175412294,0.0192938530734633,0.0500194902548726,2.67585
"28",2015,"Qatar",28,6.611,0.25569807895931,0.163152321887763,0.120606564816215,0.0968688549387385,0.0789714112842233,0.04927091211617,1.55674
"29",2015,"France",29,6.575,0.194339163498099,0.191692775665399,0.1438463878327,0.0836669201520912,0.0314007604562738,0.0187558935361217,2.21126
"30",2015,"Argentina",30,6.574,0.160254031031336,0.189873745056282,0.119749011256465,0.0684119257681777,0.0129053848494068,0.0174186188013386,2.836
"31",2015,"Czech Republic",31,6.505,0.181242121445042,0.18546195234435,0.129873943120676,0.0712744043043812,0.00407686395080707,0.0164273635664873,2.67782
"32",2015,"Uruguay",32,6.485,0.163710100231303,0.186414803392444,0.12515034695451,0.0930794140323824,0.0378689282960678,0.0358365458750964,2.32142
"33",2015,"Colombia",33,6.477,0.141826462868612,0.191474448046935,0.106649683495445,0.0825474756831867,0.00790489424116103,0.0284097576038289,2.85737
"34",2015,"Thailand",34,6.455,0.149790859798606,0.195978311386522,0.11440743609605,0.0862339271882262,0.00493725793958172,0.0892796281951975,2.31945
"35",2015,"Saudi Arabia",35,6.411,0.217658711589456,0.169073467477773,0.112345967867727,0.0484292622055842,0.0507315551396038,0.0213788800499142,2.43872
"36",2015,"Spain",36,6.329,0.194360878495813,0.207582556486017,0.150990677832201,0.0726038868699637,0.0101090219623953,0.0287991783852109,2.12367
"37",2015,"Malta",37,6.302,0.191589971437639,0.206605839416058,0.140782291336084,0.0957870517296097,0.0215582354807997,0.0821199619168518,1.6488
"38",2015,"Taiwan",38,6.298,0.204982534137822,0.170874880914576,0.138980628771038,0.063099396633852,0.0129072721498889,0.0402921562400762,2.32323
"39",2015,"Kuwait",39,6.295,0.246897537728356,0.185216838760921,0.115158061953932,0.0881636219221604,0.04068149324861,0.025779189833201,1.87634
"40",2015,"Suriname",40,6.269,0.158771733928856,0.155048652097623,0.0970170681129367,0.0951619078002871,0.0217466900622109,0.0271032062529909,2.79094
"41",2015,"Trinidad and Tobago",41,6.168,0.196470492866407,0.191883916990921,0.0996806095979248,0.0906031128404669,0.00184824902723735,0.0516277561608301,2.26882
"42",2015,"El Salvador",42,6.13,0.124721044045677,0.167221859706362,0.110500815660685,0.0658238172920065,0.01921044045677,0.017442088091354,3.035
"43",2015,"Guatemala",43,6.123,0.121758941695247,0.170432794381839,0.105218030377266,0.0942887473460722,0.0154695410746366,0.0448946594806467,2.74255
"44",2015,"Uzbekistan",44,6.003,0.105353989671831,0.223293353323338,0.0995702148925537,0.109646843245044,0.0513509911710811,0.0380426453439947,2.23741
"45",2015,"Slovakia",45,5.995,0.19498081734779,0.211841534612177,0.131613010842369,0.0529624687239366,0.00572310258548791,0.0281784820683903,2.24639
"46",2015,"Japan",46,5.987,0.212249874728579,0.209974945715717,0.165543677968933,0.0828712209787874,0.0301653582762652,0.017880407549691,1.68435
"47",2015,"South Korea",47,5.984,0.207989639037433,0.16005013368984,0.161326871657754,0.0554946524064171,0.013130013368984,0.0310110294117647,2.21978
"48",2015,"Ecuador",48,5.975,0.144605857740586,0.167201673640167,0.13234309623431,0.0812953974895398,0.0302761506276151,0.0193154811715481,2.53942
"49",2015,"Bahrain",49,5.96,0.222107382550336,0.20406711409396,0.125362416107383,0.0763288590604027,0.0513422818791946,0.0291308724832215,1.73797
"50",2015,"Italy",50,5.948,0.210346334902488,0.201373570948218,0.16046738399462,0.0441089441829186,0.00487726967047747,0.0383708809683927,2.02518
"51",2015,"Bolivia",51,5.89,0.115675721561969,0.166113752122241,0.0915449915110357,0.0974770797962649,0.0149405772495756,0.0348658743633277,2.82334
"52",2015,"Moldova",52,5.889,0.1009475292919,0.172402784853116,0.10498556631007,0.0557276277806079,0.00274240108677195,0.035576498556631,3.10712
"53",2015,"Paraguay",53,5.878,0.12927015991834,0.221975161619598,0.112449812861518,0.0916961551548146,0.0140217761143246,0.0582511058183055,2.18896
